Suborder,Family,Scientific Name,Observed June 2022,Observed August 2022,Observed on iNaturalist
Anisoptera,Aeshnidae,Aeshna canadensis,,,x
Anisoptera,Aeshnidae,Aeshna clepsydra,,,x
Anisoptera,Aeshnidae,Aeshna constricta,,,x
Anisoptera,Aeshnidae,Aeshna eremita,,,x
Anisoptera,Aeshnidae,Aeshna interrupta,,,x
Anisoptera,Aeshnidae,Aeshna tuberculifera,,,x
Anisoptera,Aeshnidae,Aeshna umbrosa,,,x
Anisoptera,Aeshnidae,Aeshna umbrosa umbrosa,,,x
Anisoptera,Aeshnidae,Aeshna verticalis,,x,x
Anisoptera,Aeshnidae,Anax junius,,,x
Anisoptera,Aeshnidae,Anax longipes,x,,x
Anisoptera,Aeshnidae,Basiaeschna janata,,,x
Anisoptera,Aeshnidae,Boyeria grafiana,,,x
Anisoptera,Aeshnidae,Boyeria vinosa,,,x
Anisoptera,Aeshnidae,Epiaeschna heros,,,x
Anisoptera,Aeshnidae,Gomphaeschna antilope,,,x
Anisoptera,Aeshnidae,Gomphaeschna furcillata,,,x
Anisoptera,Aeshnidae,Nasiaeschna pentacantha,,,x
Anisoptera,Aeshnidae,Rhionaeschna mutata,,,x
Anisoptera,Cordulegastridae,Cordulegaster diastatops,x,,x
Anisoptera,Cordulegastridae,Cordulegaster erronea,,,x
Anisoptera,Cordulegastridae,Cordulegaster maculata,,,x
Anisoptera,Cordulegastridae,Cordulegaster obliqua,,,x
Anisoptera,Corduliidae,Cordulia shurtleffii,,,x
Anisoptera,Corduliidae,Dorocordulia sp.,x,,
Anisoptera,Corduliidae,Dorocordulia lepida,,,x
Anisoptera,Corduliidae,Dorocordulia libera,,,x
Anisoptera,Corduliidae,Epitheca canis,x,,x
Anisoptera,Corduliidae,Epitheca cynosura,,,x
Anisoptera,Corduliidae,Epitheca princeps,,,x
Anisoptera,Corduliidae,Epitheca semiaquea,,,x
Anisoptera,Corduliidae,Helocordulia uhleri,x,,x
Anisoptera,Corduliidae,Neurocordulia obsoleta,,,x
Anisoptera,Corduliidae,Neurocordulia yamaskanensis,,,x
Anisoptera,Corduliidae,Somatochlora sp.,x,,
Anisoptera,Corduliidae,Somatochlora elongata,,,x
Anisoptera,Corduliidae,Somatochlora incurvata,,,x
Anisoptera,Corduliidae,Somatochlora linearis,,,x
Anisoptera,Corduliidae,Somatochlora tenebrosa,,,x
Anisoptera,Corduliidae,Somatochlora walshii,,,x
Anisoptera,Corduliidae,Somatochlora williamsoni,,,x
Anisoptera,Corduliidae,Williamsonia fletcheri,,,x
Anisoptera,Gomphidae,Arigomphus furcifer,,,x
Anisoptera,Gomphidae,Arigomphus villosipes,,,x
Anisoptera,Gomphidae,Dromogomphus spinosus,,,x
Anisoptera,Gomphidae,Gomphurus fraternus,,,x
Anisoptera,Gomphidae,Gomphurus septima,,,x
Anisoptera,Gomphidae,Gomphurus septima delawarensis,,,x
Anisoptera,Gomphidae,Gomphurus vastus,,,x
Anisoptera,Gomphidae,Gomphurus ventricosus,,,x
Anisoptera,Gomphidae,Hagenius brevistylus,,,x
Anisoptera,Gomphidae,Hylogomphus abbreviatus,,,x
Anisoptera,Gomphidae,Hylogomphus adelphus,,,x
Anisoptera,Gomphidae,Hylogomphus viridifrons,,,x
Anisoptera,Gomphidae,Lanthus,,,x
Anisoptera,Gomphidae,Lanthus parvulus,,,x
Anisoptera,Gomphidae,Lanthus vernalis,x,,x
Anisoptera,Gomphidae,Ophiogomphus aspersus,,,x
Anisoptera,Gomphidae,Ophiogomphus carolus,,,x
Anisoptera,Gomphidae,Ophiogomphus mainensis,,,x
Anisoptera,Gomphidae,Ophiogomphus rupinsulensis,,,x
Anisoptera,Gomphidae,Phanogomphus,,,x
Anisoptera,Gomphidae,Phanogomphus borealis,,,x
Anisoptera,Gomphidae,Phanogomphus descriptus,,,x
Anisoptera,Gomphidae,Phanogomphus exilis,x,,x
Anisoptera,Gomphidae,Phanogomphus lividus,,,x
Anisoptera,Gomphidae,Phanogomphus quadricolor,,,x
Anisoptera,Gomphidae,Phanogomphus spicatus,,,x
Anisoptera,Gomphidae,Stenogomphurus rogersi,,,x
Anisoptera,Gomphidae,Stylogomphus albistylus,x,,x
Anisoptera,Gomphidae,Stylurus amnicola,,,x
Anisoptera,Gomphidae,Stylurus plagiatus,,,x
Anisoptera,Gomphidae,Stylurus scudderi,,,x
Anisoptera,Gomphidae,Stylurus spiniceps,,,x
Anisoptera,Libellulidae,Celithemis elisa,x,x,x
Anisoptera,Libellulidae,Celithemis eponina,,,x
Anisoptera,Libellulidae,Celithemis fasciata,x,x,x
Anisoptera,Libellulidae,Celithemis martha,,,x
Anisoptera,Libellulidae,Celithemis verna,,,x
Anisoptera,Libellulidae,Erythemis simplicicollis,x,,x
Anisoptera,Libellulidae,Erythrodiplax berenice,,,x
Anisoptera,Libellulidae,Ladona deplanata,,,x
Anisoptera,Libellulidae,Ladona exusta,x,,x
Anisoptera,Libellulidae,Ladona julia,x,,x
Anisoptera,Libellulidae,Leucorrhinia,,,x
Anisoptera,Libellulidae,Leucorrhinia frigida,x,,x
Anisoptera,Libellulidae,Leucorrhinia glacialis,,,x
Anisoptera,Libellulidae,Leucorrhinia hudsonica,,,x
Anisoptera,Libellulidae,Leucorrhinia intacta,x,,x
